stimmbezirk,eligible_voters,valid_votes,cdu_csu,spd,fdp,gruene,linke_pds,afd,other,ad_demokraten
10101,1600,1463,0.318523582,0.284347232,0.078605605,0.168831169,0.069036227,0.028708134,0.051948052,0
10102,752,1024,0.314453125,0.322265625,0.046875,0.154296875,0.09375,0.01953125,0.048828125,0
10103,763,1615,0.297832817,0.288544892,0.063157895,0.20619195,0.066873065,0.022291022,0.055108359,0
10104,1138,1205,0.277178423,0.253112033,0.086307054,0.214107884,0.087966805,0.017427386,0.063900415,0
10105,712,1072,0.255597015,0.289179104,0.049440299,0.214552239,0.106343284,0.029850746,0.055037313,0
10106,686,872,0.302752294,0.269495413,0.05733945,0.202981651,0.088302752,0.019495413,0.059633028,0
10107,1499,1410,0.295744681,0.282978723,0.069503546,0.186524823,0.087943262,0.029078014,0.04822695,0
10108,1235,1038,0.272639692,0.310211946,0.063583815,0.170520231,0.0761079,0.03371869,0.073217726,0
10109,1412,702,0.230769231,0.297720798,0.072649573,0.170940171,0.136752137,0.027065527,0.064102564,0
10110,1132,560,0.185714286,0.301785714,0.042857143,0.235714286,0.144642857,0.026785714,0.0625,0
10111,1210,521,0.257197697,0.3243762,0.053742802,0.193857965,0.115163148,0.017274472,0.038387716,0
10112,936,400,0.2,0.295,0.0325,0.22,0.1775,0.0225,0.0525,0
10113,652,302,0.208609272,0.40397351,0.036423841,0.152317881,0.142384106,0.016556291,0.039735099,0
10114,1029,521,0.239923225,0.316698656,0.05950096,0.184261036,0.103646833,0.03646833,0.05950096,0
10115,807,357,0.260504202,0.24929972,0.039215686,0.193277311,0.112044818,0.047619048,0.098039216,0
10116,892,447,0.228187919,0.313199105,0.058165548,0.199105145,0.091722595,0.033557047,0.07606264,0
10117,851,377,0.270557029,0.323607427,0.082228117,0.161803714,0.092838196,0.021220159,0.047745358,0
10118,836,428,0.308411215,0.313084112,0.053738318,0.154205607,0.112149533,0.030373832,0.028037383,0
10119,857,389,0.341902314,0.318766067,0.059125964,0.123393316,0.095115681,0.035989717,0.025706941,0
10120,1589,692,0.328034682,0.277456647,0.070809249,0.124277457,0.086705202,0.037572254,0.075144509,0
10201,775,1701,0.24750147,0.285126396,0.05643739,0.25867137,0.088183422,0.025867137,0.038212816,0
10202,954,1282,0.24648986,0.266770671,0.059282371,0.248829953,0.095163807,0.029641186,0.053822153,0
10203,769,1289,0.263770365,0.244375485,0.062063615,0.240496509,0.114817688,0.020170675,0.054305663,0
10204,629,1359,0.281824871,0.267844003,0.067696836,0.246504783,0.077998528,0.025754231,0.032376748,0
10205,657,1268,0.251577287,0.268927445,0.052839117,0.231072555,0.109621451,0.022082019,0.063880126,0
10206,641,1216,0.235197368,0.294407895,0.069901316,0.255756579,0.077302632,0.020559211,0.046875,0
10207,746,1252,0.25798722,0.273162939,0.083865815,0.221246006,0.087060703,0.020766773,0.055910543,0
10208,622,1139,0.246707638,0.260755048,0.086040386,0.240561896,0.086040386,0.021071115,0.058823529,0
10209,796,970,0.229896907,0.27628866,0.088659794,0.229896907,0.094845361,0.02371134,0.056701031,0
10210,789,408,0.18627451,0.323529412,0.031862745,0.25,0.12745098,0.019607843,0.06127451,0
10211,764,396,0.22979798,0.257575758,0.04040404,0.252525253,0.138888889,0.03030303,0.050505051,0
10212,828,466,0.173819742,0.274678112,0.0472103,0.270386266,0.160944206,0.019313305,0.053648069,0
10213,697,326,0.205521472,0.260736196,0.042944785,0.242331288,0.190184049,0.012269939,0.04601227,0
10214,737,351,0.190883191,0.282051282,0.031339031,0.253561254,0.148148148,0.031339031,0.062678063,0
10215,659,330,0.203030303,0.293939394,0.042424242,0.257575758,0.139393939,0.018181818,0.045454545,0
10216,766,412,0.220873786,0.305825243,0.04368932,0.233009709,0.13592233,0.019417476,0.041262136,0
10217,970,476,0.25,0.31092437,0.06092437,0.218487395,0.081932773,0.029411765,0.048319328,0
10218,763,350,0.257142857,0.311428571,0.08,0.191428571,0.077142857,0.028571429,0.054285714,0
10219,921,478,0.234309623,0.292887029,0.054393305,0.219665272,0.10460251,0.027196653,0.066945607,0
10220,841,451,0.270509978,0.286031042,0.046563193,0.22172949,0.090909091,0.026607539,0.057649667,0
10221,850,422,0.203791469,0.263033175,0.04028436,0.258293839,0.1492891,0.021327014,0.063981043,0
10222,1148,566,0.231448763,0.30565371,0.049469965,0.190812721,0.144876325,0.021201413,0.056537102,0
10223,955,468,0.254273504,0.27991453,0.036324786,0.22008547,0.117521368,0.038461538,0.053418803,0
10224,838,415,0.212048193,0.257831325,0.045783133,0.23373494,0.144578313,0.01686747,0.089156627,0
10225,834,400,0.215,0.3,0.035,0.19,0.145,0.0325,0.0825,0
10226,871,488,0.198770492,0.295081967,0.06352459,0.239754098,0.112704918,0.030737705,0.05942623,0
10227,792,443,0.203160271,0.27765237,0.045146727,0.295711061,0.115124153,0.0248307,0.038374718,0
10228,670,336,0.202380952,0.3125,0.053571429,0.193452381,0.110119048,0.035714286,0.092261905,0
10229,887,416,0.204326923,0.293269231,0.0625,0.230769231,0.110576923,0.026442308,0.072115385,0
10230,872,386,0.261658031,0.261658031,0.077720207,0.212435233,0.095854922,0.031088083,0.059585492,0
10231,899,434,0.297235023,0.230414747,0.071428571,0.241935484,0.085253456,0.016129032,0.057603687,0
10232,851,459,0.244008715,0.230936819,0.058823529,0.25708061,0.108932462,0.02832244,0.071895425,0
10233,1019,479,0.206680585,0.254697286,0.052192067,0.256784969,0.137787056,0.029227557,0.06263048,0
10234,1092,572,0.262237762,0.25,0.066433566,0.216783217,0.122377622,0.027972028,0.054195804,0
10235,1038,470,0.229787234,0.289361702,0.059574468,0.234042553,0.117021277,0.025531915,0.044680851,0
10301,1092,1400,0.373571429,0.233571429,0.104285714,0.145,0.066428571,0.035,0.042142857,0
10302,906,1007,0.379344588,0.233366435,0.104270109,0.135054618,0.064548163,0.035749752,0.047666336,0
10303,785,1009,0.365708622,0.241823588,0.087215064,0.167492567,0.066402379,0.030723489,0.040634291,0
10304,774,1053,0.325735992,0.252611586,0.05982906,0.179487179,0.086419753,0.030389364,0.065527066,0
10305,728,1138,0.368189807,0.210017575,0.112478032,0.158172232,0.05887522,0.049209139,0.043057996,0
10306,697,380,0.276315789,0.271052632,0.047368421,0.197368421,0.089473684,0.039473684,0.078947368,0
10307,530,273,0.3003663,0.234432234,0.073260073,0.179487179,0.124542125,0.032967033,0.054945055,0
10308,804,435,0.229885057,0.308045977,0.064367816,0.186206897,0.108045977,0.03908046,0.064367816,0
10309,821,353,0.30878187,0.254957507,0.042492918,0.243626062,0.073654391,0.031161473,0.045325779,0
10310,1248,597,0.174204355,0.2680067,0.051926298,0.227805695,0.177554439,0.031825796,0.068676717,0
10311,722,350,0.22,0.285714286,0.068571429,0.222857143,0.1,0.022857143,0.08,0
10312,872,429,0.303030303,0.268065268,0.053613054,0.188811189,0.097902098,0.037296037,0.051282051,0
10313,1419,722,0.426592798,0.247922438,0.084487535,0.121883657,0.055401662,0.029085873,0.034626039,0
10314,1342,574,0.294425087,0.271777003,0.102787456,0.155052265,0.080139373,0.038327526,0.057491289,0
10401,858,1030,0.310679612,0.244660194,0.102912621,0.19223301,0.069902913,0.034951456,0.044660194,0
10402,713,1531,0.286740692,0.252122796,0.084258654,0.239059438,0.07642064,0.017635532,0.043762247,0
10403,661,751,0.294274301,0.250332889,0.093209055,0.209054594,0.071904128,0.023968043,0.057256991,0
10404,774,1146,0.268760908,0.255671902,0.080279232,0.220767888,0.088132635,0.02443281,0.061954625,0
10405,845,818,0.229828851,0.249388753,0.074572127,0.237163814,0.111246944,0.025672372,0.072127139,0
10406,687,910,0.20989011,0.285714286,0.052747253,0.268131868,0.102197802,0.023076923,0.058241758,0
10407,835,956,0.286610879,0.277196653,0.078451883,0.213389121,0.070083682,0.025104603,0.04916318,0
