stimmbezirk,valid_votes,eligible_voters,cdu_csu,spd,gruene,linke_pds,fdp,afd,ad_demokraten,other
10101,1549,2183,0.263395739,0.205939316,0.163331181,0.118140736,0.154293092,0.048418334,0.001291156,0.045190445
10102,1470,1458,0.279591837,0.205442177,0.155782313,0.142176871,0.134013605,0.042176871,0.001360544,0.039455782
10103,1670,1648,0.254491018,0.218562874,0.192215569,0.115568862,0.138323353,0.037125749,0.001197605,0.04251497
10104,1399,1713,0.228734811,0.182273052,0.200142959,0.137955683,0.153681201,0.051465332,0.002144389,0.043602573
10105,1191,1269,0.257766583,0.199832074,0.16372796,0.184718724,0.122586062,0.034424853,0,0.036943745
10106,1151,1233,0.245004344,0.19374457,0.198957428,0.12945265,0.164205039,0.03214596,0,0.036490009
10107,1537,2111,0.247234873,0.200390371,0.164606376,0.145087833,0.158100195,0.038386467,0,0.046193884
10108,1112,1721,0.227517986,0.240107914,0.160971223,0.117805755,0.151978417,0.053057554,0.002697842,0.045863309
10109,672,1491,0.163690476,0.226190476,0.175595238,0.181547619,0.15922619,0.049107143,0.010416667,0.03422619
10110,535,1114,0.175700935,0.214953271,0.218691589,0.209345794,0.112149533,0.031775701,0.005607477,0.031775701
10111,532,1243,0.172932331,0.212406015,0.176691729,0.189849624,0.137218045,0.043233083,0.005639098,0.062030075
10112,379,913,0.176781003,0.242744063,0.18469657,0.226912929,0.084432718,0.055408971,0.005277045,0.023746702
10113,298,675,0.204697987,0.32885906,0.110738255,0.17114094,0.10738255,0.05033557,0,0.026845638
10114,458,1049,0.189956332,0.211790393,0.209606987,0.148471616,0.139737991,0.058951965,0.004366812,0.037117904
10115,290,763,0.189655172,0.206896552,0.175862069,0.196551724,0.15862069,0.044827586,0,0.027586207
10116,378,908,0.187830688,0.177248677,0.203703704,0.185185185,0.14021164,0.066137566,0,0.03968254
10117,348,821,0.227011494,0.232758621,0.149425287,0.16954023,0.132183908,0.051724138,0,0.037356322
10118,390,857,0.230769231,0.233333333,0.158974359,0.148717949,0.138461538,0.046153846,0,0.043589744
10119,394,877,0.223350254,0.208121827,0.180203046,0.129441624,0.139593909,0.068527919,0,0.050761421
10120,628,1628,0.210191083,0.214968153,0.143312102,0.141719745,0.179936306,0.062101911,0.003184713,0.044585987
10201,1698,1595,0.197879859,0.184334511,0.237338045,0.164899882,0.14664311,0.030624264,0.001177856,0.037102473
