stimmbezirk,eligible_voters,valid_votes,spd,cdu_csu,gruene,fdp,linke_pds,ad_demokraten,afd,other
10101,2183,1275,0.269803922,0.249411765,0.122352941,0.159215686,0.098039216,0.000784314,0.048627451,0.051764706
10102,1458,1039,0.292589028,0.242540905,0.132820019,0.139557267,0.088546679,0,0.050048123,0.053897979
10103,1648,1273,0.311076198,0.24666143,0.147682639,0.130400628,0.091123331,0.000785546,0.034564022,0.037706206
10104,1713,1082,0.247689464,0.242144177,0.179297597,0.144177449,0.08780037,0,0.040665434,0.058225508
10105,1269,909,0.305830583,0.222222222,0.158415842,0.104510451,0.135313531,0,0.03190319,0.04180418
10106,1233,849,0.256772674,0.228504122,0.170789164,0.150765607,0.102473498,0,0.028268551,0.062426384
10107,2111,1263,0.269992082,0.234362629,0.148060174,0.145684877,0.110055424,0,0.044338876,0.047505938
10108,1721,960,0.290625,0.222916667,0.144791667,0.152083333,0.080208333,0,0.042708333,0.066666667
10109,1491,690,0.242028986,0.172463768,0.166666667,0.160869565,0.130434783,0.001449275,0.04057971,0.085507246
10110,1114,520,0.267307692,0.188461538,0.186538462,0.115384615,0.128846154,0.003846154,0.030769231,0.078846154
10111,1243,551,0.208711434,0.199637024,0.208711434,0.139745917,0.145190563,0,0.029038113,0.068965517
10112,913,351,0.276353276,0.182336182,0.153846154,0.094017094,0.207977208,0.002849003,0.022792023,0.05982906
10113,675,282,0.411347518,0.166666667,0.102836879,0.117021277,0.113475177,0,0.035460993,0.053191489
10114,1049,467,0.26124197,0.220556745,0.186295503,0.132762313,0.117773019,0,0.029978587,0.051391863
10115,763,293,0.303754266,0.174061433,0.133105802,0.156996587,0.14334471,0,0.044368601,0.044368601
10116,908,397,0.267002519,0.216624685,0.171284635,0.118387909,0.141057935,0,0.032745592,0.052896725
10117,821,341,0.31085044,0.249266862,0.117302053,0.158357771,0.076246334,0,0.035190616,0.052785924
10118,857,397,0.289672544,0.219143577,0.158690176,0.125944584,0.113350126,0,0.042821159,0.050377834
10119,877,397,0.279596977,0.221662469,0.141057935,0.156171285,0.108312343,0,0.04534005,0.047858942
10120,1628,610,0.280327869,0.244262295,0.1,0.140983607,0.108196721,0,0.055737705,0.070491803
10201,1595,1259,0.274027006,0.177918983,0.217633042,0.162827641,0.099285147,0,0.030976966,0.037331215
10202,1667,1268,0.267350158,0.183753943,0.199526814,0.159305994,0.130914826,0,0.02444795,0.034700315
10203,1477,1165,0.275536481,0.164806867,0.205150215,0.149356223,0.127038627,0,0.027467811,0.050643777
10204,1443,1159,0.257981018,0.234685073,0.187230371,0.161345988,0.091458154,0,0.030198447,0.037100949
10205,1545,1211,0.295623452,0.201486375,0.17671346,0.125516102,0.117258464,0.000825764,0.031379026,0.051197358
10206,1326,1059,0.278564684,0.203966006,0.185080264,0.143531634,0.123701605,0,0.023607177,0.041548631
10207,1427,1074,0.261638734,0.185288641,0.175046555,0.177839851,0.113594041,0,0.027001862,0.059590317
10208,1255,995,0.249246231,0.178894472,0.205025126,0.151758794,0.125628141,0,0.03718593,0.052261307
10209,1328,901,0.223085461,0.190899001,0.187569367,0.168701443,0.144284129,0,0.025527192,0.059933407
10210,784,397,0.284634761,0.153652393,0.161209068,0.095717884,0.19395466,0,0.025188917,0.085642317
10211,776,372,0.225806452,0.169354839,0.217741935,0.150537634,0.155913978,0,0.02688172,0.053763441
10212,847,454,0.242290749,0.178414097,0.237885463,0.129955947,0.147577093,0,0.015418502,0.04845815
10213,714,339,0.268436578,0.174041298,0.174041298,0.085545723,0.206489676,0.002949853,0.038348083,0.050147493
10214,735,352,0.318181818,0.147727273,0.159090909,0.099431818,0.167613636,0.005681818,0.051136364,0.051136364
10215,641,315,0.276190476,0.174603175,0.222222222,0.123809524,0.152380952,0,0.019047619,0.031746032
10216,727,378,0.261904762,0.206349206,0.187830688,0.12962963,0.14021164,0,0.029100529,0.044973545
10217,997,477,0.301886792,0.203354298,0.180293501,0.165618449,0.083857442,0,0.033542977,0.031446541
10218,814,380,0.252631579,0.242105263,0.213157895,0.123684211,0.092105263,0,0.026315789,0.05
10219,895,396,0.247474747,0.169191919,0.194444444,0.154040404,0.148989899,0,0.025252525,0.060606061
10220,866,444,0.231981982,0.213963964,0.20045045,0.126126126,0.15990991,0,0.022522523,0.045045045
10221,874,408,0.25,0.117647059,0.25245098,0.115196078,0.149509804,0,0.026960784,0.088235294
10222,1438,715,0.232167832,0.184615385,0.179020979,0.165034965,0.131468531,0,0.040559441,0.067132867
10223,953,418,0.296650718,0.181818182,0.184210526,0.100478469,0.136363636,0,0.026315789,0.074162679
10224,829,358,0.229050279,0.162011173,0.17877095,0.125698324,0.184357542,0,0.025139665,0.094972067
10225,983,431,0.241299304,0.167053364,0.194895592,0.171693735,0.141531323,0.002320186,0.027842227,0.053364269
10226,870,478,0.248953975,0.167364017,0.20292887,0.117154812,0.173640167,0,0.020920502,0.069037657
10227,786,432,0.24537037,0.1875,0.226851852,0.141203704,0.12037037,0,0.018518519,0.060185185
10228,658,301,0.222591362,0.169435216,0.19269103,0.099667774,0.176079734,0,0.026578073,0.112956811
10229,897,462,0.292207792,0.181818182,0.16017316,0.142857143,0.12987013,0,0.025974026,0.067099567
10230,881,370,0.22972973,0.154054054,0.189189189,0.178378378,0.159459459,0,0.013513514,0.075675676
10231,894,442,0.257918552,0.199095023,0.169683258,0.208144796,0.097285068,0,0.013574661,0.054298643
10232,859,445,0.238202247,0.17752809,0.164044944,0.2,0.143820225,0.002247191,0.024719101,0.049438202
10233,1027,474,0.261603376,0.185654008,0.202531646,0.11814346,0.14978903,0,0.016877637,0.065400844
10234,1124,541,0.219963031,0.170055453,0.232902033,0.166358595,0.112754159,0,0.038817006,0.059149723
10235,1102,480,0.241666667,0.195833333,0.185416667,0.164583333,0.125,0,0.029166667,0.058333333
10301,2002,1380,0.223188406,0.313043478,0.114492754,0.201449275,0.063768116,0,0.035507246,0.048550725
10302,1461,832,0.216346154,0.304086538,0.131009615,0.180288462,0.070913462,0,0.057692308,0.039663462
10303,1372,888,0.238738739,0.28490991,0.123873874,0.175675676,0.097972973,0,0.032657658,0.046171171
10304,1494,1021,0.247796278,0.249755142,0.14201763,0.148873653,0.113614104,0,0.040156709,0.057786484
10305,1454,1028,0.204280156,0.293774319,0.126459144,0.221789883,0.060311284,0.001945525,0.049610895,0.041828794
10306,708,358,0.240223464,0.203910615,0.175977654,0.125698324,0.120111732,0,0.047486034,0.086592179
10307,597,302,0.294701987,0.271523179,0.135761589,0.125827815,0.089403974,0,0.033112583,0.049668874
10308,828,436,0.247706422,0.183486239,0.213302752,0.133027523,0.130733945,0,0.04587156,0.04587156
10309,787,350,0.257142857,0.351428571,0.154285714,0.091428571,0.088571429,0,0.022857143,0.034285714
10310,1289,505,0.273267327,0.158415842,0.178217822,0.126732673,0.172277228,0,0.035643564,0.055445545
10311,749,328,0.268292683,0.179878049,0.167682927,0.131097561,0.118902439,0.00304878,0.024390244,0.106707317
10312,880,357,0.224089636,0.260504202,0.131652661,0.156862745,0.120448179,0,0.036414566,0.070028011
10313,1461,657,0.232876712,0.351598174,0.114155251,0.146118721,0.068493151,0,0.04261796,0.04414003
10314,1441,599,0.242070117,0.222036728,0.143572621,0.193656093,0.088480801,0.003338898,0.040066778,0.066777963
10401,1330,882,0.239229025,0.221088435,0.171201814,0.189342404,0.102040816,0.001133787,0.030612245,0.045351474
10402,1425,1049,0.246901811,0.196377502,0.19828408,0.177311725,0.105815062,0,0.028598665,0.046711153
10403,1268,894,0.237136465,0.252796421,0.203579418,0.161073826,0.081655481,0,0.023489933,0.040268456
10404,1397,977,0.234390993,0.219037871,0.19037871,0.16888434,0.115660184,0.002047083,0.029682702,0.039918117
10405,1198,741,0.245614035,0.186234818,0.174089069,0.168690958,0.132253711,0.001349528,0.039136302,0.052631579
10406,1163,778,0.271208226,0.199228792,0.195372751,0.145244216,0.124678663,0,0.03470437,0.029562982
10407,1473,998,0.288577154,0.231462926,0.164328657,0.157314629,0.082164329,0.002004008,0.036072144,0.038076152
10408,1360,1013,0.263573544,0.212240869,0.170779862,0.157946693,0.123395854,0,0.02171767,0.050345508
10409,1635,1204,0.241694352,0.254152824,0.174418605,0.179401993,0.080564784,0,0.035714286,0.034053156
10410,721,354,0.220338983,0.214689266,0.18079096,0.183615819,0.115819209,0,0.02259887,0.062146893
10411,1569,698,0.232091691,0.17765043,0.1747851,0.160458453,0.143266476,0,0.054441261,0.05730659
10412,1271,556,0.291366906,0.174460432,0.170863309,0.122302158,0.134892086,0.008992806,0.032374101,0.064748201
10413,1411,669,0.272047833,0.139013453,0.225710015,0.130044843,0.143497758,0,0.023916293,0.065769806
10414,682,305,0.249180328,0.170491803,0.239344262,0.062295082,0.186885246,0,0.036065574,0.055737705
10415,710,359,0.292479109,0.239554318,0.167130919,0.077994429,0.133704735,0.002785515,0.036211699,0.050139276
10416,732,426,0.276995305,0.164319249,0.199530516,0.112676056,0.15258216,0,0.028169014,0.0657277
10417,715,332,0.246987952,0.231927711,0.15060241,0.129518072,0.138554217,0,0.051204819,0.051204819
10418,688,350,0.342857143,0.182857143,0.162857143,0.125714286,0.122857143,0,0.017142857,0.045714286
10419,616,324,0.299382716,0.212962963,0.197530864,0.104938272,0.12037037,0.00308642,0.012345679,0.049382716
10420,750,415,0.286746988,0.161445783,0.265060241,0.108433735,0.122891566,0,0.024096386,0.031325301
10421,636,353,0.260623229,0.181303116,0.21529745,0.124645892,0.138810198,0,0.031161473,0.04815864
10422,1337,722,0.247922438,0.175900277,0.210526316,0.105263158,0.16066482,0.002770083,0.037396122,0.059556787
10423,1191,561,0.258467023,0.258467023,0.171122995,0.140819964,0.092691622,0.001782531,0.037433155,0.039215686
10424,697,348,0.25862069,0.287356322,0.117816092,0.186781609,0.063218391,0,0.043103448,0.043103448
10425,890,497,0.241448692,0.191146881,0.191146881,0.14084507,0.154929577,0,0.028169014,0.052313883
10501,1491,1035,0.263768116,0.231884058,0.191304348,0.133333333,0.085990338,0.000966184,0.043478261,0.049275362
10502,1822,1120,0.261607143,0.275,0.140178571,0.125,0.100892857,0.001785714,0.047321429,0.048214286
10503,1375,998,0.275551102,0.24248497,0.142284569,0.135270541,0.086172345,0,0.038076152,0.080160321
10504,1193,804,0.286069652,0.327114428,0.108208955,0.105721393,0.077114428,0,0.047263682,0.048507463
10505,1384,991,0.297679112,0.271442987,0.13925328,0.106962664,0.097880928,0,0.02320888,0.063572149
10506,695,352,0.278409091,0.201704545,0.170454545,0.119318182,0.088068182,0,0.0625,0.079545455
10507,1291,464,0.318965517,0.176724138,0.168103448,0.092672414,0.112068966,0.002155172,0.068965517,0.060344828
10508,701,365,0.271232877,0.257534247,0.2,0.093150685,0.095890411,0,0.032876712,0.049315068
10509,643,300,0.366666667,0.233333333,0.12,0.08,0.106666667,0,0.043333333,0.05
10510,1119,577,0.273830156,0.223570191,0.162911612,0.10745234,0.131715771,0.001733102,0.055459272,0.043327556
10511,1285,534,0.282771536,0.235955056,0.151685393,0.121722846,0.101123596,0.001872659,0.065543071,0.039325843
10512,647,279,0.329749104,0.247311828,0.103942652,0.132616487,0.086021505,0.007168459,0.043010753,0.050179211
10513,820,338,0.295857988,0.236686391,0.133136095,0.112426036,0.109467456,0,0.053254438,0.059171598
20101,1431,1060,0.259433962,0.231132075,0.129245283,0.174528302,0.108490566,0.004716981,0.033018868,0.059433962
20102,2085,1473,0.22946368,0.294636796,0.11473184,0.202987101,0.075356415,0,0.040733198,0.042090971
20103,864,402,0.26119403,0.201492537,0.171641791,0.149253731,0.124378109,0,0.034825871,0.05721393
20104,881,405,0.296296296,0.22962963,0.140740741,0.148148148,0.086419753,0.002469136,0.034567901,0.061728395
20105,1167,530,0.224528302,0.301886792,0.124528302,0.213207547,0.062264151,0,0.037735849,0.035849057
20106,937,424,0.186320755,0.254716981,0.155660377,0.287735849,0.049528302,0,0.04009434,0.025943396
20107,730,371,0.215633423,0.315363881,0.094339623,0.226415094,0.088948787,0,0.029649596,0.029649596
20108,633,272,0.272058824,0.235294118,0.136029412,0.147058824,0.106617647,0,0.040441176,0.0625
20201,694,312,0.141025641,0.378205128,0.112179487,0.288461538,0.03525641,0,0.032051282,0.012820513
20202,1212,700,0.211428571,0.362857143,0.06,0.208571429,0.051428571,0.004285714,0.067142857,0.034285714
20203,2214,1508,0.111405836,0.399204244,0.063660477,0.344164456,0.026525199,0,0.036472149,0.018567639
