stimmbezirk,total_pop,migration_bg,under_18,18_to_65,65_plus,eligible_voters
10101,1949.00,544.00,208.00,1447.00,294.00,1549.00
10102,1972.00,592.00,115.00,1620.00,237.00,1575.00
10103,2005.00,669.00,123.00,1610.00,272.00,1629.00
10104,1955.00,714.00,103.00,1602.00,250.00,1580.00
10105,2184.00,668.00,152.00,1727.00,305.00,1710.00
10106,1741.00,587.00,172.00,1287.00,282.00,1301.00
10107,1998.00,631.00,155.00,1544.00,299.00,1557.00
10108,2043.00,577.00,214.00,1510.00,319.00,1544.00
10109,1871.00,805.00,208.00,1160.00,503.00,1263.00
10110,2156.00,944.00,270.00,1545.00,341.00,1410.00
10111,1735.00,508.00,95.00,1344.00,296.00,1444.00
10112,1991.00,711.00,101.00,1537.00,353.00,1582.00
10113,1829.00,678.00,131.00,1442.00,256.00,1322.00
10114,1711.00,533.00,182.00,1228.00,301.00,1309.00
10201,1988.00,627.00,115.00,1738.00,135.00,1610.00
10202,2158.00,631.00,196.00,1773.00,189.00,1674.00
10203,2022.00,628.00,179.00,1634.00,209.00,1609.00
10204,2118.00,638.00,225.00,1720.00,173.00,1667.00
10205,1849.00,681.00,162.00,1533.00,154.00,1414.00
10206,2051.00,621.00,149.00,1755.00,147.00,1621.00
10207,2176.00,716.00,240.00,1676.00,260.00,1622.00
10208,2127.00,587.00,293.00,1555.00,279.00,1567.00
10209,2358.00,581.00,268.00,1780.00,310.00,1832.00
10210,2164.00,526.00,314.00,1419.00,431.00,1713.00
10211,2030.00,427.00,337.00,1407.00,286.00,1542.00
10212,1879.00,511.00,221.00,1374.00,284.00,1491.00
10213,2095.00,495.00,285.00,1503.00,307.00,1638.00
10214,2114.00,612.00,208.00,1613.00,293.00,1641.00
10215,1621.00,412.00,155.00,1333.00,133.00,1322.00
10216,2311.00,814.00,237.00,1856.00,218.00,1783.00
10217,2227.00,807.00,145.00,1881.00,201.00,1744.00
10218,1799.00,452.00,220.00,1314.00,265.00,1429.00
10301,1743.00,557.00,86.00,1129.00,528.00,1397.00
10302,880.00,358.00,36.00,672.00,172.00,671.00
10303,2210.00,706.00,185.00,1569.00,456.00,1650.00
10304,1139.00,530.00,74.00,889.00,176.00,765.00
10305,2031.00,687.00,173.00,1546.00,312.00,1573.00
10306,2034.00,674.00,104.00,1662.00,268.00,1617.00
10307,1787.00,612.00,81.00,1525.00,181.00,1450.00
10308,2099.00,834.00,177.00,1714.00,208.00,1450.00
10309,2474.00,1173.00,230.00,1954.00,290.00,1598.00
10310,1185.00,500.00,122.00,918.00,145.00,792.00
10401,1964.00,634.00,254.00,1497.00,213.00,1496.00
10402,2220.00,689.00,246.00,1679.00,295.00,1679.00
10403,2164.00,676.00,192.00,1636.00,336.00,1713.00
10404,1923.00,534.00,195.00,1468.00,260.00,1536.00
10405,2020.00,608.00,183.00,1564.00,273.00,1596.00
10406,1598.00,579.00,128.00,1291.00,179.00,1213.00
10407,1896.00,545.00,175.00,1491.00,230.00,1504.00
10408,2058.00,568.00,250.00,1577.00,231.00,1607.00
10409,2005.00,555.00,235.00,1429.00,341.00,1575.00
10410,2318.00,989.00,198.00,1894.00,226.00,1680.00
10411,2051.00,420.00,285.00,1438.00,328.00,1627.00
10412,1924.00,558.00,216.00,1352.00,356.00,1520.00
10413,1967.00,535.00,236.00,1319.00,412.00,1554.00
10414,1825.00,449.00,216.00,1315.00,294.00,1471.00
10501,1942.00,542.00,151.00,1433.00,358.00,1570.00
10502,2001.00,572.00,172.00,1515.00,314.00,1611.00
10503,1984.00,535.00,259.00,1483.00,242.00,1544.00
10504,1883.00,460.00,238.00,1339.00,306.00,1501.00
10505,2225.00,861.00,197.00,1742.00,286.00,1524.00
10506,1678.00,759.00,194.00,1242.00,242.00,1117.00
10507,1744.00,660.00,199.00,1349.00,196.00,1262.00
10508,1727.00,758.00,240.00,1170.00,317.00,1207.00
20101,2282.00,633.00,278.00,1718.00,286.00,1711.00
20102,2249.00,615.00,333.00,1312.00,604.00,1747.00
20103,2300.00,722.00,395.00,1483.00,422.00,1674.00
20104,2669.00,1500.00,636.00,1852.00,181.00,1261.00
20108,916.00,349.00,96.00,616.00,204.00,678.00
20201,1938.00,778.00,312.00,1207.00,419.00,1300.00
20202,1929.00,643.00,306.00,1241.00,382.00,1420.00
20203,1650.00,808.00,327.00,1122.00,201.00,1034.00
20204,1518.00,471.00,223.00,924.00,371.00,1154.00
20301,2019.00,806.00,231.00,1481.00,307.00,1425.00
20302,2301.00,708.00,372.00,1669.00,260.00,1685.00
20303,2209.00,1025.00,396.00,1503.00,310.00,1367.00
20401,1770.00,479.00,353.00,1072.00,345.00,1257.00
20402,1696.00,485.00,281.00,1100.00,315.00,1255.00
20403,1374.00,405.00,162.00,790.00,422.00,1058.00
20501,1993.00,680.00,237.00,1473.00,283.00,1430.00
20502,2009.00,739.00,329.00,1389.00,291.00,1412.00
20503,1863.00,618.00,158.00,1513.00,192.00,1440.00
20504,2130.00,575.00,215.00,1592.00,323.00,1698.00
20505,2072.00,674.00,238.00,1308.00,526.00,1618.00
20506,997.00,317.00,110.00,635.00,252.00,774.00
20507,2026.00,614.00,269.00,1327.00,430.00,1561.00
20508,1951.00,524.00,418.00,1248.00,285.00,1371.00
20509,1997.00,645.00,299.00,1281.00,417.00,1447.00
20510,2099.00,622.00,365.00,1284.00,450.00,1539.00
20511,1784.00,788.00,136.00,1329.00,319.00,1300.00
20518,1888.00,783.00,233.00,1207.00,448.00,1366.00
20601,2058.00,536.00,361.00,1191.00,506.00,1515.00
20602,1897.00,692.00,282.00,1203.00,412.00,1367.00
20603,2032.00,581.00,332.00,1262.00,438.00,1528.00
20604,1648.00,519.00,278.00,997.00,373.00,1160.00
20605,1555.00,568.00,300.00,870.00,385.00,1035.00
20701,2012.00,536.00,385.00,1153.00,474.00,1429.00
20801,2097.00,438.00,296.00,1126.00,675.00,1666.00
20802,2027.00,530.00,546.00,1096.00,385.00,1377.00
20803,2349.00,616.00,316.00,1375.00,658.00,1812.00
20804,2247.00,607.00,238.00,1312.00,697.00,1791.00
20805,1387.00,316.00,170.00,702.00,515.00,1123.00
20806,2129.00,625.00,256.00,1273.00,600.00,1642.00
20807,2086.00,849.00,419.00,1377.00,290.00,1239.00
20808,954.00,212.00,145.00,542.00,267.00,724.00
20809,1742.00,431.00,283.00,1069.00,390.00,1328.00
20901,1983.00,497.00,395.00,1066.00,522.00,1425.00
20902,1982.00,458.00,368.00,1204.00,410.00,1472.00
20903,1902.00,394.00,342.00,1065.00,495.00,1448.00
21001,2159.00,523.00,433.00,1314.00,412.00,1546.00
21002,2161.00,691.00,397.00,1394.00,370.00,1572.00
21003,2328.00,819.00,474.00,1547.00,307.00,1601.00
21004,2288.00,447.00,453.00,1391.00,444.00,1713.00
21005,1951.00,582.00,303.00,1118.00,530.00,1460.00
21101,1400.00,690.00,273.00,937.00,190.00,778.00
21102,1260.00,594.00,255.00,756.00,249.00,758.00
21201,2067.00,806.00,420.00,1258.00,389.00,1398.00
21301,2058.00,1500.00,496.00,1322.00,240.00,857.00
21302,1869.00,820.00,361.00,1178.00,330.00,1168.00
21303,2025.00,1254.00,491.00,1210.00,324.00,905.00
21304,1659.00,1375.00,411.00,1065.00,183.00,444.00
30101,2275.00,419.00,353.00,1477.00,445.00,1821.00
30102,2093.00,406.00,291.00,1422.00,380.00,1670.00
30103,2018.00,383.00,344.00,1275.00,399.00,1570.00
30104,2056.00,426.00,321.00,1204.00,531.00,1645.00
30105,2003.00,450.00,318.00,1418.00,267.00,1537.00
30201,1973.00,348.00,349.00,1274.00,350.00,1522.00
30202,2019.00,358.00,279.00,1416.00,324.00,1653.00
30203,1899.00,322.00,271.00,1391.00,237.00,1549.00
30204,2184.00,335.00,456.00,1415.00,313.00,1659.00
30205,2051.00,447.00,242.00,1549.00,260.00,1682.00
30206,2289.00,484.00,360.00,1494.00,435.00,1788.00
30207,2030.00,540.00,258.00,1424.00,348.00,1622.00
30208,2006.00,978.00,79.00,1742.00,185.00,1361.00
30209,2192.00,646.00,132.00,1914.00,146.00,1750.00
30210,1834.00,531.00,207.00,1463.00,164.00,1406.00
30211,1864.00,404.00,174.00,1494.00,196.00,1580.00
30212,2117.00,515.00,310.00,1600.00,207.00,1645.00
30213,1821.00,297.00,200.00,1300.00,321.00,1540.00
30214,2249.00,434.00,321.00,1403.00,525.00,1837.00
30215,2019.00,366.00,304.00,1303.00,412.00,1618.00
30216,2038.00,322.00,320.00,1311.00,407.00,1635.00
30217,1545.00,236.00,254.00,1003.00,288.00,1252.00
30218,2110.00,441.00,288.00,1560.00,262.00,1689.00
30301,1950.00,481.00,142.00,1495.00,313.00,1567.00
30302,2250.00,537.00,225.00,1527.00,498.00,1835.00
30303,2154.00,571.00,287.00,1635.00,232.00,1630.00
30304,2146.00,620.00,179.00,1633.00,334.00,1727.00
30305,960.00,296.00,105.00,759.00,96.00,754.00
30306,1863.00,401.00,257.00,1224.00,382.00,1485.00
30307,1962.00,462.00,328.00,1386.00,248.00,1504.00
30308,971.00,210.00,134.00,665.00,172.00,754.00
30309,2058.00,418.00,273.00,1368.00,417.00,1656.00
30310,1825.00,310.00,294.00,1173.00,358.00,1448.00
30311,1959.00,380.00,329.00,1071.00,559.00,1485.00
30312,860.00,234.00,95.00,643.00,122.00,697.00
30313,1796.00,369.00,181.00,1319.00,296.00,1509.00
30314,2103.00,560.00,343.00,1280.00,480.00,1587.00
30315,1588.00,378.00,140.00,1142.00,306.00,1295.00
30316,1469.00,329.00,169.00,1064.00,236.00,1237.00
30317,2142.00,421.00,234.00,1552.00,356.00,1783.00
30401,1678.00,515.00,169.00,1231.00,278.00,1285.00
30402,1006.00,204.00,166.00,679.00,161.00,776.00
30403,2209.00,627.00,371.00,1397.00,441.00,1690.00
30404,1886.00,457.00,232.00,1167.00,487.00,1505.00
30405,1568.00,434.00,191.00,1142.00,235.00,1228.00
30406,1952.00,420.00,249.00,1343.00,360.00,1560.00
30407,1851.00,363.00,314.00,1240.00,297.00,1447.00
30501,1772.00,749.00,247.00,1015.00,510.00,1199.00
30502,2239.00,860.00,434.00,1515.00,290.00,1491.00
30503,2384.00,592.00,369.00,1374.00,641.00,1871.00
30504,2225.00,744.00,229.00,1565.00,431.00,1486.00
30601,1989.00,486.00,277.00,1312.00,400.00,1577.00
30602,2342.00,496.00,404.00,1473.00,465.00,1788.00
30603,1829.00,448.00,371.00,1209.00,249.00,1313.00
30604,2287.00,486.00,343.00,1356.00,588.00,1795.00
30605,1411.00,368.00,330.00,916.00,165.00,963.00
30606,1958.00,707.00,263.00,1336.00,359.00,1455.00
30607,1776.00,464.00,396.00,1221.00,159.00,1202.00
30608,1498.00,489.00,314.00,976.00,208.00,1060.00
30701,2022.00,581.00,346.00,1179.00,497.00,1490.00
30702,2004.00,627.00,314.00,1242.00,448.00,1445.00
30703,2188.00,1071.00,328.00,1360.00,500.00,1483.00
30704,2074.00,738.00,292.00,1313.00,469.00,1499.00
30705,2080.00,1032.00,312.00,1225.00,543.00,1414.00
30706,2074.00,1014.00,322.00,1263.00,489.00,1429.00
30707,2219.00,945.00,325.00,1275.00,619.00,1591.00
30708,1287.00,580.00,193.00,835.00,259.00,873.00
30709,1438.00,504.00,211.00,883.00,344.00,1040.00
30801,1963.00,491.00,308.00,1265.00,390.00,1503.00
30802,1957.00,554.00,267.00,1155.00,535.00,1515.00
30803,1979.00,376.00,399.00,1127.00,453.00,1497.00
30804,1587.00,448.00,429.00,938.00,220.00,1059.00
30805,1505.00,338.00,279.00,801.00,425.00,1144.00
30901,2106.00,790.00,552.00,1203.00,351.00,1349.00
30902,2006.00,501.00,374.00,1196.00,436.00,1498.00
30903,2019.00,585.00,458.00,1120.00,441.00,1394.00
30904,2069.00,802.00,585.00,1257.00,227.00,1268.00
30905,2045.00,913.00,467.00,1298.00,280.00,1355.00
30906,2120.00,792.00,834.00,1190.00,96.00,1087.00
40101,2068.00,663.00,258.00,1598.00,212.00,1492.00
40102,1933.00,623.00,211.00,1411.00,311.00,1474.00
40103,2074.00,747.00,222.00,1560.00,292.00,1502.00
40104,1907.00,793.00,231.00,1494.00,182.00,1309.00
40105,1996.00,768.00,297.00,1496.00,203.00,1419.00
40106,1178.00,382.00,126.00,960.00,92.00,852.00
40107,1752.00,677.00,230.00,1411.00,111.00,1212.00
40108,2090.00,719.00,241.00,1673.00,176.00,1516.00
40109,1866.00,633.00,206.00,1427.00,233.00,1364.00
40110,2460.00,914.00,292.00,1922.00,246.00,1821.00
40111,2123.00,599.00,278.00,1476.00,369.00,1626.00
40112,2147.00,612.00,271.00,1591.00,285.00,1614.00
40113,1159.00,387.00,135.00,907.00,117.00,854.00
40114,1868.00,647.00,193.00,1476.00,199.00,1365.00
40115,2457.00,856.00,291.00,1833.00,333.00,1823.00
40116,2180.00,663.00,297.00,1684.00,199.00,1629.00
40117,1809.00,504.00,207.00,1315.00,287.00,1403.00
40118,2314.00,1104.00,296.00,1797.00,221.00,1544.00
40119,2146.00,1125.00,325.00,1527.00,294.00,1300.00
40201,1960.00,946.00,263.00,1495.00,202.00,1258.00
40202,1806.00,777.00,254.00,1324.00,228.00,1171.00
40203,1951.00,270.00,333.00,1193.00,425.00,1558.00
40204,1944.00,388.00,268.00,1282.00,394.00,1566.00
40205,1338.00,371.00,233.00,931.00,174.00,971.00
40206,1963.00,470.00,308.00,1400.00,255.00,1463.00
40207,2258.00,511.00,400.00,1555.00,303.00,1664.00
40208,2044.00,617.00,205.00,1583.00,256.00,1615.00
40209,2092.00,988.00,158.00,1560.00,374.00,1352.00
40210,2414.00,808.00,406.00,1537.00,471.00,1685.00
40211,2324.00,842.00,471.00,1414.00,439.00,1514.00
40212,1406.00,307.00,207.00,924.00,275.00,1092.00
40301,2355.00,1324.00,314.00,1668.00,373.00,1397.00
40302,2056.00,850.00,354.00,1262.00,440.00,1419.00
40303,2114.00,1180.00,368.00,1433.00,313.00,1215.00
40304,2392.00,1385.00,527.00,1547.00,318.00,1317.00
40305,2354.00,622.00,408.00,1527.00,419.00,1733.00
40306,2173.00,866.00,355.00,1556.00,262.00,1450.00
40307,1341.00,230.00,182.00,829.00,330.00,1095.00
40308,1881.00,1333.00,402.00,1233.00,246.00,896.00
40401,1267.00,258.00,211.00,776.00,280.00,970.00
40402,1683.00,392.00,264.00,1039.00,380.00,1267.00
40403,1694.00,744.00,358.00,1087.00,249.00,1095.00
40404,1448.00,311.00,222.00,894.00,332.00,1135.00
40405,2093.00,867.00,426.00,1259.00,408.00,1271.00
40501,1974.00,735.00,320.00,1215.00,439.00,1350.00
40502,2076.00,1001.00,402.00,1279.00,395.00,1267.00
40503,2367.00,1369.00,560.00,1205.00,602.00,1267.00
40504,2020.00,962.00,384.00,1199.00,437.00,1239.00
40505,2104.00,1225.00,535.00,1287.00,282.00,1004.00
40601,2245.00,1110.00,398.00,1611.00,236.00,1452.00
40602,2026.00,983.00,396.00,1342.00,288.00,1295.00
40603,2162.00,861.00,497.00,1328.00,337.00,1412.00
40604,2020.00,944.00,323.00,1387.00,310.00,1334.00
40605,1969.00,1155.00,479.00,1401.00,89.00,1055.00
40606,1639.00,918.00,336.00,1189.00,114.00,1005.00
50101,2061.00,607.00,251.00,1572.00,238.00,1533.00
50102,2021.00,549.00,243.00,1465.00,313.00,1574.00
50103,2069.00,683.00,196.00,1559.00,314.00,1556.00
50104,2198.00,892.00,299.00,1622.00,277.00,1481.00
50105,1824.00,578.00,240.00,1295.00,289.00,1308.00
50106,2000.00,820.00,354.00,1372.00,274.00,1391.00
50107,2034.00,667.00,268.00,1450.00,316.00,1470.00
50108,2298.00,793.00,489.00,1577.00,232.00,1573.00
50109,2028.00,530.00,203.00,1501.00,324.00,1581.00
50110,1990.00,619.00,242.00,1435.00,313.00,1472.00
50111,1968.00,454.00,298.00,1352.00,318.00,1499.00
50112,2101.00,574.00,244.00,1564.00,293.00,1588.00
50113,2086.00,666.00,313.00,1447.00,326.00,1472.00
50114,2001.00,527.00,642.00,1289.00,70.00,1241.00
50115,1982.00,482.00,242.00,1405.00,335.00,1583.00
50116,2028.00,705.00,387.00,1342.00,299.00,1346.00
50117,1920.00,670.00,367.00,1258.00,295.00,1305.00
50118,1828.00,700.00,310.00,1210.00,308.00,1266.00
50201,1947.00,785.00,263.00,1339.00,345.00,1337.00
50202,2001.00,826.00,296.00,1351.00,354.00,1362.00
50203,1600.00,341.00,312.00,930.00,358.00,1200.00
50301,1964.00,507.00,123.00,640.00,1201.00,1733.00
50302,1986.00,533.00,296.00,1317.00,373.00,1491.00
50303,2029.00,538.00,222.00,1403.00,404.00,1625.00
50304,1915.00,878.00,190.00,1127.00,598.00,1328.00
50305,1864.00,757.00,281.00,1217.00,366.00,1283.00
50306,1789.00,437.00,299.00,1123.00,367.00,1314.00
50401,2155.00,870.00,352.00,1501.00,302.00,1413.00
50402,1951.00,923.00,302.00,1309.00,340.00,1272.00
50403,2160.00,739.00,293.00,1366.00,501.00,1590.00
50404,2109.00,1050.00,339.00,1326.00,444.00,1328.00
50405,1771.00,1100.00,390.00,1166.00,215.00,920.00
50406,2336.00,1289.00,483.00,1459.00,394.00,1370.00
50407,1740.00,1021.00,271.00,1046.00,423.00,983.00
50408,2132.00,764.00,341.00,1378.00,413.00,1442.00
50409,1487.00,550.00,200.00,996.00,291.00,1028.00
50410,2153.00,1102.00,337.00,1436.00,380.00,1342.00
50501,2027.00,859.00,281.00,1419.00,327.00,1370.00
50502,2022.00,854.00,289.00,1365.00,368.00,1372.00
50503,1956.00,868.00,294.00,1307.00,355.00,1278.00
50504,1983.00,835.00,290.00,1242.00,451.00,1359.00
50505,1976.00,621.00,189.00,1409.00,378.00,1518.00
50506,1949.00,556.00,252.00,1244.00,453.00,1488.00
50507,1622.00,957.00,298.00,1016.00,308.00,834.00
