ags,ags_name,election_date,eligible_voters,turnout,total_votes,cdu_csu,spd,fdp,afd,gruene,linke_pds,ad_demokraten,other
5111000,"Düsseldorf, krfr. Stadt",2017-05-14,412309,0.676931622,279105,0.308728736,0.265883569,0.174321805,0.063299418,0.081144947,0.061572314,0.001170672,0.043878539
5112000,"Duisburg, krfr. Stadt",2017-05-14,328549,0.58398595,191868,0.233380743,0.376713741,0.094240561,0.11593429,0.049404387,0.060042404,0.007143122,0.063140753
5113000,"Essen, krfr. Stadt",2017-05-14,419870,0.638335675,268018,0.276982458,0.333574568,0.119064312,0.098193757,0.062242275,0.056158642,0.001443638,0.052340352
5114000,"Krefeld, krfr. Stadt",2017-05-14,163365,0.603905365,98657,0.315668487,0.31087599,0.147838759,0.06573006,0.061501991,0.050069784,0.002534789,0.04578014
5116000,"Mönchengladbach, krfr. Stadt",2017-05-14,190503,0.594064135,113171,0.35758215,0.275834019,0.135749276,0.075910895,0.053813423,0.051122752,0.002011299,0.047976186
5117000,"Mülheim an der Ruhr, krfr. Stadt",2017-05-14,124241,0.691567196,85921,0.272713359,0.350463274,0.136462638,0.086214813,0.061879702,0.048776181,0.001283274,0.04220676
5119000,"Oberhausen, krfr. Stadt",2017-05-14,152582,0.624405238,95273,0.264072028,0.386003001,0.085831657,0.109692113,0.041697264,0.056383896,0.001724083,0.054595958
5120000,"Remscheid, krfr. Stadt",2017-05-14,77296,0.61410681,47468,0.315910838,0.314181399,0.127017679,0.085810061,0.052908019,0.050922367,0.004889401,0.048360236
5122000,"Solingen, krfr. Stadt",2017-05-14,112676,0.625297313,70456,0.30987493,0.298401804,0.139228328,0.080441119,0.063066297,0.056604586,0.001249264,0.051133671
5124000,"Wuppertal, krfr. Stadt",2017-05-14,241397,0.620044988,149677,0.267704712,0.322107385,0.127156018,0.085131424,0.077406961,0.06885053,0.00195479,0.049688181
5154004,Bedburg-Hau,2017-05-14,9860,0.671298174,6619,0.441651432,0.278945765,0.131322364,0.049969531,0.045399147,0.024375381,0,0.02833638
5154008,"Emmerich am Rhein, Stadt",2017-05-14,19516,0.62271982,12153,0.363916154,0.344701381,0.114623191,0.063383796,0.048161704,0.033022792,0.000332723,0.03185826
5154012,"Geldern, Stadt",2017-05-14,25863,0.651741871,16856,0.437967115,0.259910314,0.129028401,0.053632287,0.046397608,0.036532138,0.000478326,0.036053812
5154016,"Goch, Stadt",2017-05-14,24626,0.613619751,15111,0.417446524,0.273796791,0.130414439,0.063435829,0.045855615,0.031417112,6.68449E-05,0.037566845
5154020,Issum,2017-05-14,9582,0.727092465,6967,0.394854748,0.305535482,0.12689695,0.066050007,0.040034687,0.029484029,0,0.037144096
5154024,"Kalkar, Stadt",2017-05-14,10375,0.642409639,6665,0.442001516,0.277937832,0.110386657,0.058529189,0.045337377,0.029719484,0,0.036087945
5154028,Kerken,2017-05-14,10152,0.711682427,7225,0.418189427,0.270051611,0.138652532,0.060538429,0.050216209,0.029432278,0.000418468,0.032501046
5154032,"Kevelaer, Stadt",2017-05-14,21166,0.668005292,14139,0.442318675,0.246644774,0.148557967,0.04754426,0.048043975,0.030125642,0.000356939,0.036407767
