ags,ags_name,election_date,eligible_voters,turnout,total_votes,cdu_csu,spd,fdp,afd,gruene,pds_linke,other
05111000,"Düsseldorf, krfr. Stadt",13-05-1990,437258,0.707847541,309512,0.349194862,0.492384786,0.067192871,0,0.060239991,0,0.026221924
05111000,"Düsseldorf, krfr. Stadt",14-05-1995,419993,0.625158038,262562,0.361868816,0.433215774,0.051755395,0,0.12205879,0,0.025175006
05111000,"Düsseldorf, krfr. Stadt",14-05-2000,407832,0.574999019,234503,0.344370861,0.407107798,0.122919536,0,0.084664162,0.013705582,0.019667126
05111000,"Düsseldorf, krfr. Stadt",22-05-2005,407796,0.645923452,263405,0.421111976,0.35611321,0.077249862,0,0.073901407,0.009783413,0.052094683
05111000,"Düsseldorf, krfr. Stadt",09-05-2010,412910,0.610937008,252262,0.346857632,0.287530425,0.086061317,0,0.15062118,0.059200355,0.059525414
05111000,"Düsseldorf, krfr. Stadt",13-05-2012,412928,0.608033362,251074,0.253909206,0.33705999,0.125783634,0,0.137230458,0.02955304,0.1058891
05111000,"Düsseldorf, krfr. Stadt",14-05-2017,412309,0.676931622,279105,0.306139267,0.263653464,0.172859676,0.062768492,0.080464341,0.061055875,0.04467136
05111000,"Düsseldorf, krfr. Stadt",15-05-2022,407937,0.585033964,238657,0.327641762,0.21606322,0.081656939,0.040426218,0.241576824,0.023711854,0.063807054
05112000,"Duisburg, krfr. Stadt",13-05-1990,391902,0.680948298,266865,0.246896371,0.646439211,0.033005452,0,0.047087479,0,0.019815262
05112000,"Duisburg, krfr. Stadt",14-05-1995,377064,0.600980205,226608,0.263132811,0.589409906,0.020206701,0,0.093063793,0,0.027099661
05112000,"Duisburg, krfr. Stadt",14-05-2000,363036,0.52561454,190817,0.253850548,0.54902341,0.071890869,0,0.059433908,0.02051704,0.032565233
05112000,"Duisburg, krfr. Stadt",22-05-2005,352524,0.586306181,206687,0.335671813,0.480547882,0.036117414,0,0.049475777,0.016701583,0.066738595
05112000,"Duisburg, krfr. Stadt",09-05-2010,344154,0.542388001,186665,0.23748962,0.442139662,0.038796775,0,0.093863338,0.078520344,0.094940133
05112000,"Duisburg, krfr. Stadt",13-05-2012,340508,0.530005169,180471,0.162818403,0.514902671,0.04851749,0,0.087698301,0.036986552,0.13384976
05112000,"Duisburg, krfr. Stadt",14-05-2017,328549,0.58398595,191868,0.230053995,0.371343841,0.0928972,0.114281694,0.048700148,0.059186524,0.069282006
05112000,"Duisburg, krfr. Stadt",15-05-2022,317217,0.468193697,148519,0.256303907,0.354358702,0.044304096,0.077269575,0.15535386,0.027114376,0.074939907
05113000,"Essen, krfr. Stadt",13-05-1990,497233,0.681549696,338889,0.29194515,0.567699158,0.05017277,0,0.055584572,0,0.03020458
05113000,"Essen, krfr. Stadt",14-05-1995,474982,0.612614794,290981,0.304205429,0.518882676,0.031012334,0,0.110436764,0,0.02974421
05113000,"Essen, krfr. Stadt",14-05-2000,454114,0.551751322,250558,0.30503117,0.470346187,0.088015549,0,0.079801882,0.012073053,0.035193448
05113000,"Essen, krfr. Stadt",22-05-2005,442349,0.623322309,275726,0.365779796,0.442493635,0.047703155,0,0.066486294,0.012461647,0.053879576
