ags,GEN,total_22,german_born,turkish_born,italian_born
010010000000,"Flensburg, Stadt",95015,0.785433879,0.010240488,0.001620797
010020000000,"Kiel, Landeshauptstadt",249132,0.81449593,0.02311626,0.001485156
010030000000,"Lübeck, Hansestadt",215958,0.825026162,0.020865168,0.002648663
010040000000,"Neumünster, Stadt",79625,0.819755102,0.024941915,0.001054945
010510011011,"Brunsbüttel, Stadt",12573,0.85572258,0.004294918,0.00230653
010510044044,"Heide, Stadt",21487,0.832037976,0.010424908,0.001303114
010515163003,Averlak,568,0.948943662,0,0
010515163010,Brickeln,191,0.958115183,0,0
010515163012,Buchholz (Kreis Dithmarschen),1001,0.957042957,0,0
010515163016,Burg (Dithmarschen),4150,0.91373494,0.001204819,0.001445783
010515163022,Dingen,648,0.945987654,0,0
010515163024,Eddelak,1330,0.951879699,0.002255639,0
010515163026,Eggstedt,761,0.935611038,0,0
010515163032,Frestedt,337,0.979228487,0,0
010515163037,Großenrade,482,0.958506224,0,0
010515163051,Hochdonn,1124,0.961743772,0,0
010515163064,Kuden,622,0.95659164,0,0
010515163089,Quickborn,188,0.936170213,0,0
010515163097,Sankt Michaelisdonn,3539,0.920881605,0.004521051,0.000847697
010515163110,Süderhastedt,771,0.955901427,0,0
010515166021,Diekhusen0Fahrstedt,675,0.954074074,0,0
010515166034,Friedrichskoog,2403,0.906783188,0,0.001248439
010515166046,Helse,800,0.9475,0,0
010515166057,Kaiser0Wilhelm0Koog,356,0.848314607,0,0
010515166062,Kronprinzenkoog,833,0.921968788,0,0
010515166072,"Marne, Stadt",5766,0.886403052,0.005202914,0.000693722
010515166073,Marnerdeich,395,0.916455696,0,0
010515166076,Neufeld,613,0.911908646,0,0
010515166077,Neufelderkoog,116,0.896551724,0,0
010515166090,Ramhusen,160,0.95625,0.01875,0
010515166103,Schmedeswurth,174,0.936781609,0,0
010515166118,Trennewurth,229,0.956331878,0,0
010515166119,Volsemenhusen,328,0.932926829,0,0
010515169005,Barkenholm,177,0.949152542,0,0
010515169008,Bergewöhrden,35,0.971428571,0,0
010515169019,Dellstedt,718,0.969359331,0,0
010515169020,Delve,760,0.972368421,0,0
010515169023,Dörpling,637,0.971742543,0,0
010515169030,Fedderingen,265,0.962264151,0,0
010515169035,Gaushorn,175,0.931428571,0,0
010515169036,Glüsing,107,0.897196262,0,0
010515169038,Groven,90,0.888888889,0,0
010515169047,Hemme,499,0.899799599,0,0
010515169049,Hennstedt (Kreis Dithmarschen),2071,0.940125543,0,0.001448576
010515169052,Hövede,64,0.890625,0,0
010515169053,Hollingstedt (Kreis Dithmarschen),304,0.947368421,0,0
010515169058,Karolinenkoog,132,0.946969697,0,0
010515169060,Kleve (Kreis Dithmarschen),413,0.975786925,0,0
010515169061,Krempel,600,0.961666667,0,0
010515169065,Lehe (Kreis Dithmarschen),1092,0.941391941,0.005494505,0
010515169068,Linden (Kreis Dithmarschen),874,0.970251716,0,0
